,Artist,word,frequency
0,Taylor Swift,want,20
1,Taylor Swift,like,15
2,Taylor Swift,get,13
3,Taylor Swift,midnight,11
4,Taylor Swift,lavender,9
5,Taylor Swift,haze,9
6,Taylor Swift,stay,9
7,Taylor Swift,make,9
8,Taylor Swift,nice,9
9,Taylor Swift,maroon,9
10,Taylor Swift,say,8
11,Taylor Swift,real,8
12,Taylor Swift,problem,7
13,Taylor Swift,never,7
14,Taylor Swift,girl,7
15,Taylor Swift,polish,7
16,Taylor Swift,agree,6
17,Taylor Swift,damn,6
18,Taylor Swift,change,6
19,Taylor Swift,scarlet,6
20,Taylor Swift,ill,5
21,Taylor Swift,time,5
22,Taylor Swift,room,5
23,Taylor Swift,feel,5
24,Taylor Swift,ask,5
25,Taylor Swift,love,5
26,Taylor Swift,bride,5
27,Taylor Swift,think,5
28,Taylor Swift,shimmer,5
29,Taylor Swift,leave,4
30,Taylor Swift,teatime,4
31,Taylor Swift,wake,4
32,Taylor Swift,people,4
33,Taylor Swift,come,4
34,Taylor Swift,shit,4
35,Taylor Swift,deal,4
36,Taylor Swift,talk,4
37,Taylor Swift,desk,4
38,Taylor Swift,give,4
39,Taylor Swift,meet,4
40,Taylor Swift,rain,4
41,Taylor Swift,comfortable,4
42,Taylor Swift,pain,4
43,Taylor Swift,name,4
44,Taylor Swift,chase,4
45,Taylor Swift,fame,4
46,Taylor Swift,heart,4
47,Taylor Swift,best,4
48,Taylor Swift,believe,4
49,Taylor Swift,bejewel,4
50,Taylor Swift,walk,4
51,Taylor Swift,place,4
52,Taylor Swift,diamond,4
53,Taylor Swift,old,3
54,Taylor Swift,scream,3
55,Taylor Swift,dream,3
56,Taylor Swift,stare,3
57,Taylor Swift,directly,3
58,Taylor Swift,sun,3
59,Taylor Swift,mirror,3
60,Taylor Swift,must,3
61,Taylor Swift,exhaust,3
62,Taylor Swift,always,3
63,Taylor Swift,root,3
64,Taylor Swift,antihero,3
65,Taylor Swift,end,3
66,Taylor Swift,surreal,3
67,Taylor Swift,chest,3
68,Taylor Swift,new,3
69,Taylor Swift,kind,3
70,Taylor Swift,lose,3
71,Taylor Swift,burgundy,3
72,Taylor Swift,tshirt,3
73,Taylor Swift,splash,3
74,Taylor Swift,wine,3
75,Taylor Swift,blood,3
76,Taylor Swift,rush,3
77,Taylor Swift,cheek,3
78,Taylor Swift,mark,3
79,Taylor Swift,saw,3
80,Taylor Swift,collarbone,3
81,Taylor Swift,rust,3
82,Taylor Swift,grow,3
83,Taylor Swift,telephone,3
84,Taylor Swift,lip,3
85,Taylor Swift,use,3
86,Taylor Swift,call,3
87,Taylor Swift,home,3
88,Taylor Swift,legacy,3
89,Taylor Swift,shoe,3
90,Taylor Swift,mind,3
91,Taylor Swift,band,3
92,Taylor Swift,man,3
93,Taylor Swift,could,3
94,Taylor Swift,remember,3
95,Taylor Swift,familiarity,3
96,Taylor Swift,breed,3
97,Taylor Swift,contempt,3
98,Taylor Swift,put,3
99,Taylor Swift,basement,3
100,Taylor Swift,penthouse,3
101,Taylor Swift,eye,3
102,Taylor Swift,miss,3
103,Taylor Swift,tale,2
104,Taylor Swift,day,2
105,Taylor Swift,watch,2
106,Taylor Swift,last,2
107,Taylor Swift,kill,2
108,Taylor Swift,thing,2
109,Taylor Swift,creep,2
110,Taylor Swift,keep,2
111,Taylor Swift,see,2
112,Taylor Swift,go,2
113,Taylor Swift,viral,2
114,Taylor Swift,need,2
115,Taylor Swift,spiral,2
116,Taylor Swift,full,2
117,Taylor Swift,sunshine,2
118,Taylor Swift,guess,2
119,Taylor Swift,except,2
120,Taylor Swift,haunt,2
121,Taylor Swift,dance,2
122,Taylor Swift,york,2
123,Taylor Swift,look,2
124,Taylor Swift,sky,2
125,Taylor Swift,u,2
126,Taylor Swift,memory,2
127,Taylor Swift,fuck,2
128,Taylor Swift,baby,2
129,Taylor Swift,good,2
130,Taylor Swift,dancin,2
131,Taylor Swift,night,2
132,Taylor Swift,try,2
133,Taylor Swift,wait,2
134,Taylor Swift,line,2
135,Taylor Swift,wise,1
136,Taylor Swift,become,1
137,Taylor Swift,afternoon,1
138,Taylor Swift,depression,1
139,Taylor Swift,work,1
140,Taylor Swift,graveyard,1
141,Taylor Swift,shift,1
142,Taylor Swift,ghost,1
143,Taylor Swift,stand,1
144,Taylor Swift,device,1
145,Taylor Swift,price,1
146,Taylor Swift,vice,1
147,Taylor Swift,crisis,1
148,Taylor Swift,tire,1
149,Taylor Swift,scheme,1
150,Taylor Swift,sexy,1
151,Taylor Swift,star,1
152,Taylor Swift,ceiling,1
153,Taylor Swift,read,1
154,Taylor Swift,melancholia,1
155,Taylor Swift,scrutiny,1
156,Taylor Swift,handle,1
157,Taylor Swift,beautifully,1
158,Taylor Swift,wife,1
159,Taylor Swift,find,1
160,Taylor Swift,dizzy,1
161,Taylor Swift,bring,1
162,Taylor Swift,history,1
163,Taylor Swift,werent,1
164,Taylor Swift,even,1
165,Taylor Swift,listen,1
166,Taylor Swift,creepin,1
167,Taylor Swift,town,1
168,Taylor Swift,wasteland,1
169,Taylor Swift,cage,1
170,Taylor Swift,fence,1
171,Taylor Swift,pageant,1
172,Taylor Swift,queen,1
173,Taylor Swift,big,1
174,Taylor Swift,pretender,1
